Date;Open;High;Low;Close;Pivot;Resistance 1;Support 1;Resistance 2;Support 2;Resistance 3;Support 3;CPR Pivot;CPR BC;CPR TC
Fri Sep 27 2024 09:49:00 GMT+0530 (India Standard Time);54.9;55.65;53.45;54.3;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 09:50:00 GMT+0530 (India Standard Time);54.3;59;54.1;57.8;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 09:51:00 GMT+0530 (India Standard Time);57.45;59.45;56.9;57.95;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 09:52:00 GMT+0530 (India Standard Time);57.95;58.3;56.7;57.6;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 09:53:00 GMT+0530 (India Standard Time);57.8;58.5;56.15;57.7;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 09:54:00 GMT+0530 (India Standard Time);57.6;57.95;56.5;56.75;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 09:55:00 GMT+0530 (India Standard Time);56.8;57.55;54.55;55;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 09:56:00 GMT+0530 (India Standard Time);55.15;56.15;54;55.35;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 09:57:00 GMT+0530 (India Standard Time);55;55.8;54.8;55.2;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 09:58:00 GMT+0530 (India Standard Time);54.95;55.95;54.95;55.1;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 09:59:00 GMT+0530 (India Standard Time);55.1;55.45;52.85;53;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 10:00:00 GMT+0530 (India Standard Time);52.5;54.95;51.7;51.9;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 10:01:00 GMT+0530 (India Standard Time);51.9;54.3;51.6;53.8;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 10:02:00 GMT+0530 (India Standard Time);53.8;54.25;53.05;53.45;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 10:03:00 GMT+0530 (India Standard Time);53.45;53.55;51.85;52.85;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 10:04:00 GMT+0530 (India Standard Time);53.1;53.1;51.65;52.05;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 10:05:00 GMT+0530 (India Standard Time);52;52.45;51.05;51.45;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 10:06:00 GMT+0530 (India Standard Time);51.75;52.05;50.5;52;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 10:07:00 GMT+0530 (India Standard Time);52.2;54.5;52;54.1;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 10:08:00 GMT+0530 (India Standard Time);54.2;55.85;53.85;55.1;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 10:09:00 GMT+0530 (India Standard Time);55;56.4;54.8;56.05;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 10:10:00 GMT+0530 (India Standard Time);55.8;57.45;55.6;55.6;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 10:11:00 GMT+0530 (India Standard Time);55.5;56.55;53.3;53.7;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 10:12:00 GMT+0530 (India Standard Time);53.8;55.3;53.6;55.2;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 10:13:00 GMT+0530 (India Standard Time);55;56.35;54.6;54.65;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 10:14:00 GMT+0530 (India Standard Time);54.65;55.75;54.55;54.9;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 10:15:00 GMT+0530 (India Standard Time);54.9;55.9;54.5;54.6;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 10:16:00 GMT+0530 (India Standard Time);54.85;55.1;54.1;54.1;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 10:17:00 GMT+0530 (India Standard Time);54;55;53.5;53.9;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 10:18:00 GMT+0530 (India Standard Time);54.2;54.95;54;54.4;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
